,Date,Value,USD (PM)
126,2017-01-15,819.55,
127,2017-01-16,830.5,1203.0
128,2017-01-17,903.84,1216.05
129,2017-01-18,906.6,1214.75
130,2017-01-19,895.798875,1196.05
131,2017-01-20,893.6210875,1200.55
132,2017-01-21,895.64,
133,2017-01-22,918.603625,
134,2017-01-23,922.0736125,1212.85
135,2017-01-24,919.97,1216.8
136,2017-01-25,893.045625,1195.0
137,2017-01-26,915.95625,1189.7
138,2017-01-27,915.05,1184.85
139,2017-01-28,920.31225,
140,2017-01-29,915.933,
141,2017-01-30,912.19,1192.8
142,2017-01-31,964.706075,1212.8
143,2017-02-01,979.703875,1203.65
144,2017-02-02,983.42,1221.95
145,2017-02-03,1013.027,1215.2
146,2017-02-04,1030.999413,
147,2017-02-05,1034.07,
148,2017-02-06,1024.01375,1226.75
149,2017-02-07,1050.11,1231.0
150,2017-02-08,1052.84,1242.1
151,2017-02-09,976.103,1236.8
152,2017-02-10,999.1035,1228.3
153,2017-02-11,997.59,
154,2017-02-12,1000.604625,
155,2017-02-13,999.877375,1222.25
156,2017-02-14,1001.2,1230.75
157,2017-02-15,1012.325988,1224.4
158,2017-02-16,1035.208125,1240.55
159,2017-02-17,1035.2,1241.95
160,2017-02-18,1056.637138,
161,2017-02-19,1052.779286,
162,2017-02-20,1050.87,1237.3
163,2017-02-21,1123.788429,1233.2
164,2017-02-22,1123.223188,1236.65
165,2017-02-23,1130.01,1247.9
166,2017-02-24,1174.86625,1253.65
167,2017-02-25,1150.605714,
168,2017-02-26,1150.37,
169,2017-02-27,1190.75195,1257.2
170,2017-02-28,1187.565286,1255.6
171,2017-03-01,1190.89,1240.4
172,2017-03-02,1259.410817,1238.1
173,2017-03-03,1285.14,1226.5
174,2017-03-04,1287.0,
175,2017-03-05,1270.9333,
176,2017-03-06,1275.197375,1230.95
177,2017-03-07,1279.5,1216.65
178,2017-03-08,1157.3933,1209.2
179,2017-03-09,1192.469143,1206.55
180,2017-03-10,1192.09,1202.65
181,2017-03-11,1179.159875,
182,2017-03-12,1227.494625,
183,2017-03-13,1227.68,1204.2
184,2017-03-14,1245.370786,1204.6
185,2017-03-15,1257.399625,1198.8
186,2017-03-16,1257.0,1229.35
187,2017-03-17,1091.171888,1229.6
188,2017-03-18,952.2323625,
189,2017-03-19,967.69,
190,2017-03-20,1049.084488,1232.4
191,2017-03-21,1118.630043,1241.6
192,2017-03-22,1113.0,1249.05
193,2017-03-23,1038.789,1247.5
194,2017-03-24,941.9197143,1247.5
195,2017-03-25,927.93,
196,2017-03-26,956.7863125,
197,2017-03-27,1037.22925,1257.55
198,2017-03-28,1041.04,1257.25
199,2017-03-29,1040.5755,1251.1
200,2017-03-30,1037.90455,1248.8
201,2017-03-31,1034.74,1244.85
202,2017-04-01,1086.929571,
203,2017-04-02,1099.169125,
204,2017-04-03,1079.99,1247.25
205,2017-04-04,1141.600363,1257.65
206,2017-04-05,1133.079314,1245.8
207,2017-04-06,1133.53,1252.5
208,2017-04-07,1190.45425,1266.45
209,2017-04-08,1181.149838,
210,2017-04-09,1184.03,
211,2017-04-10,1207.744875,1250.05
212,2017-04-11,1226.617038,1252.9
213,2017-04-12,1219.09,1274.3
214,2017-04-13,1180.023713,1284.15
215,2017-04-14,1185.260057,
216,2017-04-15,1170.36,
217,2017-04-16,1186.927413,
218,2017-04-17,1205.634875,
219,2017-04-18,1176.97,1278.95
220,2017-04-19,1217.930088,1279.05
221,2017-04-20,1241.686325,1282.1
222,2017-04-21,1236.63,1281.85
223,2017-04-22,1261.311225,
224,2017-04-23,1257.988113,
225,2017-04-24,1240.84,1269.4
226,2017-04-25,1279.414688,1267.8
227,2017-04-26,1309.109875,1261.85
228,2017-04-27,1288.02,1262.8
229,2017-04-28,1331.294429,1266.45
230,2017-04-29,1334.979038,
231,2017-04-30,1333.0,
232,2017-05-01,1417.172813,
233,2017-05-02,1452.076288,1255.45
234,2017-05-03,1447.55,1250.3
235,2017-05-04,1508.292125,1228.45
236,2017-05-05,1533.335071,1228.05
237,2017-05-06,1518.75,
238,2017-05-07,1535.868429,
239,2017-05-08,1640.619225,1229.8
240,2017-05-09,1651.1,1220.4
241,2017-05-10,1762.88625,1222.95
242,2017-05-11,1820.990563,1223.15
243,2017-05-12,1829.0,1231.25
244,2017-05-13,1771.920013,
245,2017-05-14,1776.3165,
246,2017-05-15,1780.0,1233.3
247,2017-05-16,1739.031975,1234.2
248,2017-05-17,1807.485063,1257.4
249,2017-05-18,1783.98,1255.9
250,2017-05-19,1961.520488,1252.0
251,2017-05-20,2052.909788,
252,2017-05-21,2008.84,
253,2017-05-22,2090.662313,1258.85
254,2017-05-23,2287.710288,1260.2
255,2017-05-24,2256.32,1252.55
256,2017-05-25,2387.206286,1256.95
257,2017-05-26,2211.976857,1265.05
258,2017-05-27,2279.82,
259,2017-05-28,2192.9808,
260,2017-05-29,2275.9307,
261,2017-05-30,2290.02,1262.7
262,2017-05-31,2285.933914,1266.2
263,2017-06-01,2399.242671,1264.85
264,2017-06-02,2409.93,1274.95
265,2017-06-03,2525.765158,
266,2017-06-04,2516.173143,
267,2017-06-05,2529.53,1279.95
268,2017-06-06,2883.313697,1293.5
269,2017-06-07,2664.920863,1291.0
270,2017-06-08,2683.03,1273.1
271,2017-06-09,2827.4913,1266.55
272,2017-06-10,2845.372857,
273,2017-06-11,2898.63,
274,2017-06-12,2657.675063,1266.4
275,2017-06-13,2748.185086,1262.0
276,2017-06-14,2706.0,1275.5
277,2017-06-15,2442.48025,1254.55
278,2017-06-16,2464.959814,1255.4
279,2017-06-17,2477.94,
280,2017-06-18,2507.389252,
281,2017-06-19,2617.210263,1248.15
282,2017-06-20,2600.0,1242.2
283,2017-06-21,2671.04325,1242.5
284,2017-06-22,2727.288013,1250.8
285,2017-06-23,2713.48,1255.7
286,2017-06-24,2589.164888,
287,2017-06-25,2512.366286,
288,2017-06-26,2502.03,1245.25
289,2017-06-27,2517.903114,1249.55
290,2017-06-28,2585.349186,1248.0
291,2017-06-29,2558.3,1243.5
292,2017-06-30,2477.641375,1242.25
293,2017-07-01,2501.191343,
294,2017-07-02,2421.26,
295,2017-07-03,2561.225429,1229.25
296,2017-07-04,2599.729838,1223.75
297,2017-07-05,2598.89,1220.3
298,2017-07-06,2609.96775,1224.9
299,2017-07-07,2491.201214,1215.65
300,2017-07-08,2502.86,
301,2017-07-09,2536.238938,
302,2017-07-10,2366.170143,1211.9
303,2017-07-11,2327.09,1211.05
304,2017-07-12,2385.748571,1218.8
305,2017-07-13,2354.783417,1218.9
306,2017-07-14,2338.49,1230.3
307,2017-07-15,2058.9956,
308,2017-07-16,1931.2143,
309,2017-07-17,1910.96,1234.1
310,2017-07-18,2320.12225,1240.75
311,2017-07-19,2264.7657,1242.15
312,2017-07-20,2265.21,1238.7
313,2017-07-21,2682.195363,1248.55
314,2017-07-22,2807.609857,
315,2017-07-23,2825.51,
316,2017-07-24,2751.821029,1255.55
317,2017-07-25,2560.997917,1254.4
318,2017-07-26,2564.3,1248.1
319,2017-07-27,2647.625,1261.1
320,2017-07-28,2781.636583,1264.9
321,2017-07-29,2784.8,
322,2017-07-30,2745.955417,
323,2017-07-31,2866.431667,1267.55
324,2017-08-01,2862.9,1270.95
325,2017-08-02,2693.633983,1269.6
326,2017-08-03,2794.117717,1268.1
327,2017-08-04,2790.0,1257.7
328,2017-08-05,3218.115017,
329,2017-08-06,3252.562533,
330,2017-08-07,3210.2,1258.0
331,2017-08-08,3457.374333,1261.8
332,2017-08-09,3357.326317,1271.05
333,2017-08-10,3340.28,1284.4
334,2017-08-11,3632.506667,1286.1
335,2017-08-12,3852.802914,
336,2017-08-13,3868.52,
337,2017-08-14,4282.992,1282.3
338,2017-08-15,4217.028329,1270.3
339,2017-08-16,4179.97,1272.75
340,2017-08-17,4328.725717,1285.15
341,2017-08-18,4130.440067,1295.8
342,2017-08-19,4104.71,
343,2017-08-20,4157.958033,
344,2017-08-21,4043.722,1292.9
345,2017-08-22,3986.28,1284.2
346,2017-08-23,4174.95,1286.65
347,2017-08-24,4340.316717,1289.0
348,2017-08-25,4331.77,1285.3
349,2017-08-26,4360.513317,
350,2017-08-27,4354.308333,
351,2017-08-28,4339.05,
352,2017-08-29,4607.98545,1318.65
353,2017-08-30,4594.98785,1308.5
354,2017-08-31,4582.52,1311.75
355,2017-09-01,4911.740017,1320.4
356,2017-09-02,4580.38748,
357,2017-09-03,4585.57,
358,2017-09-04,4344.098317,1333.1
359,2017-09-05,4488.72014,1335.55
360,2017-09-06,4385.02,1337.85
361,2017-09-07,4654.6585,1343.5
362,2017-09-08,4310.750183,1346.25
363,2017-09-09,4312.26,
364,2017-09-10,4329.955,
365,2017-09-11,4248.090017,1334.2
366,2017-09-12,4198.59,1326.5
367,2017-09-13,3961.271267,1327.55
368,2017-09-14,3319.63,1324.55
369,2017-09-15,3216.43,1322.85
370,2017-09-16,3763.62604,
371,2017-09-17,3746.060783,
372,2017-09-18,3678.53,1312.1
373,2017-09-19,3943.413333,1309.6
374,2017-09-20,3977.561667,1311.3
375,2017-09-21,3894.48,1292.1
376,2017-09-22,3637.50255,1294.8
377,2017-09-23,3776.3869,
378,2017-09-24,3777.62,
379,2017-09-25,3942.555,1293.3
380,2017-09-26,3910.307383,1300.05
381,2017-09-27,3881.0,1282.55
382,2017-09-28,4201.98905,1283.35
383,2017-09-29,4193.574667,1283.1
384,2017-09-30,4164.27,
385,2017-10-01,4360.722967,
386,2017-10-02,4386.88375,1273.7
387,2017-10-03,4394.07,1271.25
388,2017-10-04,4225.175,1274.25
389,2017-10-05,4338.852,1274.5
390,2017-10-06,4318.58,1261.8
391,2017-10-07,4376.191667,
392,2017-10-08,4602.280883,
393,2017-10-09,4605.66,1278.75
394,2017-10-10,4782.28,1291.4
395,2017-10-11,4819.485767,1289.25
396,2017-10-12,4822.17,1290.25
397,2017-10-13,5563.806567,1299.6
398,2017-10-14,5739.438733,
399,2017-10-15,5825.99,
400,2017-10-16,5711.205867,1303.3
401,2017-10-17,5603.71294,1284.75
402,2017-10-18,5594.66,1280.2
403,2017-10-19,5727.6335,1286.4
404,2017-10-20,5979.45984,1281.2
405,2017-10-21,5986.44,
406,2017-10-22,5983.18455,
407,2017-10-23,5876.079867,1274.9
408,2017-10-24,5900.59,1276.45
409,2017-10-25,5669.622533,1275.0
410,2017-10-26,5893.138417,1273.75
411,2017-10-27,5889.82,1266.45
412,2017-10-28,5776.69695,
413,2017-10-29,6155.43402,
414,2017-10-30,6136.49,1272.0
415,2017-10-31,6388.645167,1270.15
416,2017-11-01,6665.306683,1277.05
417,2017-11-02,6751.98,1279.2
418,2017-11-03,7197.72006,1267.2
419,2017-11-04,7437.543317,
420,2017-11-05,7365.99,
421,2017-11-06,6989.071667,1270.9
422,2017-11-07,7092.127233,1275.6
423,2017-11-08,7128.64,1284.0
424,2017-11-09,7158.03706,1284.8
425,2017-11-10,6719.39785,1284.3
426,2017-11-11,6569.22,
427,2017-11-12,5716.301583,
428,2017-11-13,6550.227533,1277.95
429,2017-11-14,6493.63,1274.6
430,2017-11-15,7301.42992,1282.2
431,2017-11-16,7815.0307,1280.0
432,2017-11-17,7868.77,1284.35
433,2017-11-18,7817.140383,
434,2017-11-19,8007.654067,
435,2017-11-20,8049.72,1286.2
436,2017-11-21,8059.8,1283.3
437,2017-11-22,8268.035,1286.95
438,2017-11-23,8236.72,1290.35
439,2017-11-24,8250.978333,1290.5
440,2017-11-25,8707.407267,
441,2017-11-26,8768.8,
442,2017-11-27,9718.29505,1294.9
443,2017-11-28,9952.50882,1291.85
444,2017-11-29,9919.0,1283.85
445,2017-11-30,10147.372,1280.2
446,2017-12-01,10883.912,1275.5
447,2017-12-02,10879.88,
448,2017-12-03,11332.622,
449,2017-12-04,11584.83,1273.45
450,2017-12-05,11591.22,1266.3
451,2017-12-06,13540.98,1263.7
452,2017-12-07,16501.97167,1255.0
453,2017-12-08,16860.88,1250.65
454,2017-12-09,15142.83415,
455,2017-12-10,14869.805,
456,2017-12-11,15068.95,1247.15
457,2017-12-12,17276.39333,1240.9
458,2017-12-13,16808.36667,1242.65
459,2017-12-14,16252.31,1251.0
460,2017-12-15,17771.9,1254.6
461,2017-12-16,19498.68333,
462,2017-12-17,19279.9,
463,2017-12-18,18961.85667,1260.6
464,2017-12-19,17737.11167,1260.35
465,2017-12-20,17382.94,1264.55
466,2017-12-21,16047.51,1264.55
467,2017-12-22,15190.945,
468,2017-12-23,13776.61,
469,2017-12-24,13949.175,
470,2017-12-25,14119.02833,
471,2017-12-26,13740.94,
472,2017-12-27,15589.32167,1279.4
473,2017-12-28,14380.58167,1291.0
474,2017-12-29,14214.01,
475,2017-12-30,13215.574,
476,2017-12-31,14165.575,
477,2018-01-01,13796.0,
478,2018-01-02,15005.85667,1312.05
479,2018-01-03,15053.26167,1314.9
480,2018-01-04,15039.24,1314.5
481,2018-01-05,17174.12,1317.15
482,2018-01-06,17319.198,
483,2018-01-07,17155.95,
484,2018-01-08,15265.90667,1319.95
485,2018-01-09,14714.25333,1311.0
486,2018-01-10,14437.42,1319.75
487,2018-01-11,13296.794,1323.05
488,2018-01-12,13912.882,1326.8
489,2018-01-13,13791.19,
490,2018-01-14,13852.92,
491,2018-01-15,14012.196,1339.25
492,2018-01-16,13554.14,1333.85
493,2018-01-17,11116.94667,1335.65
494,2018-01-18,11345.42333,1332.2
495,2018-01-19,11174.82,1334.95
496,2018-01-20,12950.79333,
497,2018-01-21,11505.228,
498,2018-01-22,11513.42,1332.6
499,2018-01-23,11223.064,1333.4
500,2018-01-24,11282.25833,1353.7
501,2018-01-25,11392.03,1354.95
502,2018-01-26,10969.815,1353.15
503,2018-01-27,11524.77667,
504,2018-01-28,11431.37,
505,2018-01-29,11212.655,1343.85
506,2018-01-30,10184.06167,1344.9
507,2018-01-31,10082.52,1345.05
508,2018-02-01,9083.258333,1341.35
509,2018-02-02,8901.901667,1331.15
510,2018-02-03,8852.73,
511,2018-02-04,8400.648333,
512,2018-02-05,6838.816667,1333.6
513,2018-02-06,6925.46,1331.4
514,2018-02-07,8099.958333,1324.65
515,2018-02-08,8240.536667,1315.45
516,2018-02-09,8245.08,1314.1
517,2018-02-10,8319.876566,
518,2018-02-11,8343.455,
519,2018-02-12,8068.02,1322.3
520,2018-02-13,8597.7675,1325.35
521,2018-02-14,9334.633333,1336.25
522,2018-02-15,9471.64,1352.45
523,2018-02-16,10127.16167,1352.1
524,2018-02-17,10841.99167,
525,2018-02-18,11085.83,
526,2018-02-19,11110.965,1346.6
527,2018-02-20,11390.39167,1339.85
528,2018-02-21,11245.98,1330.5
529,2018-02-22,9931.071667,1328.35
530,2018-02-23,10162.11667,1327.95
531,2018-02-24,10171.3,
532,2018-02-25,9696.593333,
533,2018-02-26,10348.60333,1333.5
534,2018-02-27,10319.46,1325.75
535,2018-02-28,10370.165,1317.85
536,2018-03-01,11009.38167,1307.75
537,2018-03-02,10931.12,1322.3
538,2018-03-03,11326.94833,
539,2018-03-04,11430.18167,
540,2018-03-05,11516.83,1320.4
541,2018-03-06,10763.19833,1331.4
542,2018-03-07,10118.058,1329.4
543,2018-03-08,9920.46,1321.0
544,2018-03-09,9089.278333,1320.6
545,2018-03-10,8746.002,
546,2018-03-11,8777.37,
547,2018-03-12,9182.843333,1319.15
548,2018-03-13,9154.7,1322.75
549,2018-03-14,9153.54,1323.55
550,2018-03-15,8358.121667,1318.75
551,2018-03-16,8530.402,1310.1
552,2018-03-17,8297.89,
553,2018-03-18,8171.415,
554,2018-03-19,8412.033333,1312.4
555,2018-03-20,8605.64,1311.0
556,2018-03-21,8947.753333,1321.35
557,2018-03-22,8690.408333,1329.15
558,2018-03-23,8725.37,1346.6
559,2018-03-24,8662.378333,
560,2018-03-25,8617.296667,
561,2018-03-26,8457.96,1352.4
562,2018-03-27,7876.195,1341.45
563,2018-03-28,7960.38,1332.45
564,2018-03-29,7950.61,1323.85
565,2018-03-30,6882.531667,
566,2018-03-31,6935.48,
567,2018-04-01,6937.56,
568,2018-04-02,7035.848333,
569,2018-04-03,7410.435,1333.45
570,2018-04-04,7426.48,1337.3
571,2018-04-05,6826.51,1327.7
572,2018-04-06,6603.876667,1331.2
573,2018-04-07,6634.68,
574,2018-04-08,7017.656667,
575,2018-04-09,6699.273333,1331.95
576,2018-04-10,6784.41,1338.95
577,2018-04-11,6926.266667,1350.75
578,2018-04-12,7847.845,1341.35
579,2018-04-13,7941.46,1343.7
580,2018-04-14,8036.511051,
581,2018-04-15,8340.748333,
582,2018-04-16,8368.1,1349.35
583,2018-04-17,7895.416926,1342.1
584,2018-04-18,8164.937426,1351.45
585,2018-04-19,8175.96,1348.6
586,2018-04-20,8852.718333,1336.75
587,2018-04-21,8807.205,
588,2018-04-22,8930.6,
589,2018-04-23,8933.861667,1324.3
590,2018-04-24,9555.542,1328.85
591,2018-04-25,9658.11,1321.65
592,2018-04-26,9258.398333,1320.7
593,2018-04-27,9010.32,1321.5
594,2018-04-28,8928.55,
595,2018-04-29,9334.281667,
596,2018-04-30,9259.57,1313.2
597,2018-05-01,9239.55,1307.1
598,2018-05-02,9221.426,1304.2
599,2018-05-03,9639.268333,1315.05
600,2018-05-04,9753.35,1309.4
601,2018-05-05,9803.306667,
602,2018-05-06,9630.136277,
603,2018-05-07,9631.44,
604,2018-05-08,9228.608333,1306.6
605,2018-05-09,9322.041667,1313.85
606,2018-05-10,9310.37,1318.8
607,2018-05-11,8468.788,1324.35
608,2018-05-12,8484.346667,
609,2018-05-13,8463.52,
610,2018-05-14,8652.038333,1319.85
611,2018-05-15,8511.458,1295.0
612,2018-05-16,8471.06,1291.25
613,2018-05-17,8106.118333,1289.5
614,2018-05-18,8240.055,1288.3
615,2018-05-19,8239.08,
616,2018-05-20,8507.406667,
617,2018-05-21,8385.556187,1288.35
618,2018-05-22,8396.63,1293.05
619,2018-05-23,7555.74,1289.0
620,2018-05-24,7566.193333,1304.85
621,2018-05-25,7576.78,1303.5
622,2018-05-26,7342.908333,
623,2018-05-27,7361.831667,
624,2018-05-28,7344.56,
625,2018-05-29,7459.876667,1295.5
626,2018-05-30,7385.395,1300.7
627,2018-05-31,7386.72,1305.35
628,2018-06-01,7535.146667,1294.6
629,2018-06-02,7645.146667,
630,2018-06-03,7637.14,
631,2018-06-04,7500.273333,1295.45
632,2018-06-05,7615.722142,1292.05
633,2018-06-06,7619.43,1300.1
634,2018-06-07,7676.271667,1297.25
635,2018-06-08,7620.153333,1298.25
636,2018-06-09,7615.54,
637,2018-06-10,6776.888333,
638,2018-06-11,6875.678333,1299.6
639,2018-06-12,6879.31,1298.65
640,2018-06-13,6315.7,1296.15
641,2018-06-14,6647.013333,1302.75
642,2018-06-15,6637.41,1285.25
643,2018-06-16,6509.426667,
644,2018-06-17,6464.411667,
645,2018-06-18,6445.79,1281.55
646,2018-06-19,6737.0,1276.15
647,2018-06-20,6714.718333,1274.2
648,2018-06-21,6760.83,1266.15
649,2018-06-22,6332.573333,1269.15
650,2018-06-23,6141.605833,
651,2018-06-24,6170.46,
652,2018-06-25,6211.4475,1268.7
653,2018-06-26,6218.595,1260.3
654,2018-06-27,6097.46,1254.6
655,2018-06-28,6107.896154,1251.55
656,2018-06-29,5908.7025,1250.45
657,2018-06-30,6223.28,
658,2018-07-01,6374.754167,
659,2018-07-02,6466.069167,1247.8
660,2018-07-03,6626.44,1251.75
661,2018-07-04,6593.289167,1255.65
662,2018-07-05,6603.376667,1255.5
663,2018-07-06,6555.51,1255.35
664,2018-07-07,6594.281667,
665,2018-07-08,6753.559167,
666,2018-07-09,6724.04,1262.05
667,2018-07-10,6510.791667,1254.0
668,2018-07-11,6377.363333,1251.4
669,2018-07-12,6403.18,1245.9
670,2018-07-13,6244.3575,1241.7
671,2018-07-14,6241.0,
672,2018-07-15,6248.84,
673,2018-07-16,6514.390833,1241.1
674,2018-07-17,6869.910833,1232.8
675,2018-07-18,7321.62,1224.5
676,2018-07-19,7396.401667,1217.55
677,2018-07-20,7428.045,1228.75
678,2018-07-21,7334.99,
679,2018-07-22,7451.289167,
680,2018-07-23,7689.884167,1224.95
681,2018-07-24,7715.1,1228.35
682,2018-07-25,8251.165,1231.5
683,2018-07-26,8187.324167,1228.25
684,2018-07-27,7939.81,1223.95
685,2018-07-28,8182.251667,
686,2018-07-29,8206.341667,
687,2018-07-30,8220.91,1223.8
688,2018-07-31,7916.800833,1220.95
689,2018-08-01,7570.869167,1219.0
690,2018-08-02,7607.7,1215.45
691,2018-08-03,7394.499167,1216.3
692,2018-08-04,7247.769167,
693,2018-08-05,7011.28,
694,2018-08-06,6988.079167,1209.65
695,2018-08-07,6993.513333,1212.35
696,2018-08-08,6718.23,1209.55
697,2018-08-09,6396.7725,1214.35
698,2018-08-10,6396.494667,1214.4
699,2018-08-11,6138.96,
700,2018-08-12,6311.131667,
701,2018-08-13,6347.07,1200.35
702,2018-08-14,6252.13,1197.0
703,2018-08-15,6362.676923,1182.0
704,2018-08-16,6342.629231,1180.4
705,2018-08-17,6312.75,1178.4
706,2018-08-18,6436.720833,
707,2018-08-19,6404.063333,
708,2018-08-20,6486.58,1184.35
709,2018-08-21,6401.246154,1190.95
710,2018-08-22,6575.229167,1196.65
711,2018-08-23,6354.57,1192.35
712,2018-08-24,6543.645714,1197.7
713,2018-08-25,6719.429231,
714,2018-08-26,6738.27,
715,2018-08-27,6719.266154,
716,2018-08-28,7000.04,1212.25
717,2018-08-29,7078.19,1204.2
718,2018-08-30,6932.6625,1197.3
719,2018-08-31,6981.946154,1202.45
720,2018-09-01,7018.78,
721,2018-09-02,7247.935385,
722,2018-09-03,7260.949231,1200.05
723,2018-09-04,7265.08,1190.85
724,2018-09-05,7113.069231,1196.7
725,2018-09-06,6433.271667,1205.15
726,2018-09-07,6501.19,1198.9
727,2018-09-08,6366.1075,
728,2018-09-09,6286.425833,
729,2018-09-10,6240.98,1196.6
730,2018-09-11,6296.320833,1189.85
731,2018-09-12,6273.1375,1195.6
732,2018-09-13,6326.04,1209.8
733,2018-09-14,6499.0625,1201.95
734,2018-09-15,6518.655,
735,2018-09-16,6522.39,
736,2018-09-17,6400.600833,1201.9
737,2018-09-18,6296.631667,1200.2
738,2018-09-19,6342.39,1203.3
739,2018-09-20,6418.562667,1208.35
740,2018-09-21,6669.990833,1198.7
741,2018-09-22,6756.12,
742,2018-09-23,6710.445,
743,2018-09-24,6639.304167,1202.75
744,2018-09-25,6583.45,1201.9
745,2018-09-26,6468.631667,1194.25
746,2018-09-27,6535.476667,1185.4
747,2018-09-28,6686.08,1187.25
748,2018-09-29,6550.474167,
749,2018-09-30,6593.135,
750,2018-10-01,6611.02,1189.35
751,2018-10-02,6562.641667,1204.7
752,2018-10-03,6470.4025,1201.2
753,2018-10-04,6483.73,1203.45
754,2018-10-05,6568.549167,1203.8
755,2018-10-06,6581.486667,
756,2018-10-07,6573.62,
757,2018-10-08,6618.567692,1186.95
758,2018-10-09,6621.711667,1185.55
759,2018-10-10,6626.85,1188.6
760,2018-10-11,6248.635833,1205.55
761,2018-10-12,6260.530833,1219.75
762,2018-10-13,6247.0,
763,2018-10-14,6299.399167,
764,2018-10-15,6452.571667,1229.95
765,2018-10-16,6599.17,1230.7
766,2018-10-17,6596.276154,1229.05
767,2018-10-18,6568.040769,1223.0
768,2018-10-19,6509.61,1227.85
769,2018-10-20,6488.825833,
770,2018-10-21,6531.601667,
771,2018-10-22,6504.78,1222.3
772,2018-10-23,6481.426,1235.95
773,2018-10-24,6508.31,1230.55
774,2018-10-25,6489.77,1230.8
